review_id,employee_id,review_date,performance_rating,manager_rating,goal_completion_pct,promotion_recommendation
1,1,2023-09-04 09:01:00,2,1,63.98663641,True
2,1,2022-10-16 01:19:00,1,3,89.16876611,False
3,2,2020-12-04 16:18:00,5,4,84.17098127,False
4,2,2021-03-20 17:43:00,5,1,89.40858437,False
5,2,2020-05-20 17:05:00,3,4,68.19240444,True
6,3,2018-01-19 10:30:00,3,3,55.25478491,True
7,3,2023-05-02 05:57:00,1,4,62.0964631,False
8,4,2018-04-22 20:19:00,1,2,84.75195001,True
9,5,2018-09-20 18:12:00,2,4,92.60240017,False
10,6,2018-10-21 09:57:00,3,4,62.73368355,True
11,7,2023-08-29 23:45:00,1,1,55.09671048,True
12,8,2020-03-13 14:45:00,5,1,90.64395501,True
13,8,2021-10-11 20:20:00,2,5,74.12861153,True
14,9,2021-12-01 02:20:00,3,1,57.63224929,False
15,10,2023-11-18 18:35:00,3,2,85.01940439,True
16,11,2023-06-15 16:08:00,3,2,50.41342008,False
17,11,2023-12-27 19:09:00,1,4,90.95401507,True
18,12,2022-01-30 08:58:00,2,4,83.26677356,False
19,12,2021-02-25 08:16:00,5,3,87.26485603,True
20,13,2022-01-14 08:24:00,3,2,95.15097492,True
21,13,2018-12-05 14:50:00,5,2,91.77643657,False
22,13,2023-03-05 19:22:00,2,3,62.17587603,True
23,14,2020-09-30 00:13:00,2,4,99.47395026,True
24,15,2022-09-18 05:03:00,3,1,73.88388015,True
25,15,2023-09-01 22:16:00,1,5,86.738493,False
26,16,2023-02-11 20:39:00,3,2,56.07576544,False
27,17,2023-08-25 10:27:00,5,2,98.38752085,False
28,17,2022-04-29 22:31:00,4,3,98.59495544,False
29,18,2023-08-27 05:06:00,2,1,61.09211194,False
30,19,2021-05-03 01:23:00,2,4,62.68424835,False
31,19,2018-07-27 09:05:00,3,4,78.50208748,False
32,20,2022-07-26 09:57:00,3,4,63.25738742,True
33,21,2020-08-23 02:55:00,2,2,72.63859872,False
34,21,2018-05-30 08:13:00,3,4,85.31177924,True
35,22,2018-11-01 03:48:00,2,3,64.32964532,False
36,22,2023-06-19 12:02:00,4,1,64.96188736,True
37,22,2019-03-14 19:29:00,4,4,66.04291225,False
38,23,2018-04-17 22:44:00,4,4,57.50593243,False
39,23,2022-08-21 18:08:00,5,5,92.36499931,True
40,23,2020-05-31 20:56:00,2,4,73.53162494,False
41,24,2022-06-10 10:04:00,1,3,82.06595757,True
42,24,2018-01-30 20:51:00,1,1,65.23362067,False
43,24,2023-04-26 00:48:00,2,5,59.07281236,False
44,25,2019-12-24 10:10:00,3,4,74.79700629,False
45,25,2022-04-12 12:09:00,2,1,76.39486711,False
46,26,2022-09-30 20:28:00,5,3,94.60877314,False
47,26,2020-07-15 14:59:00,3,3,74.29334501,True
48,26,2023-03-26 09:15:00,5,2,88.61493329,True
49,27,2023-01-07 19:30:00,2,2,83.50900526,False
50,27,2022-06-29 23:45:00,1,1,52.54697856,True
51,27,2022-02-01 07:26:00,3,2,86.63990136,True
52,28,2021-09-13 19:48:00,3,3,68.09135625,False
53,28,2020-04-02 16:13:00,5,1,91.66135924,False
54,28,2021-07-24 13:23:00,2,3,57.26110053,True
55,29,2018-08-08 01:34:00,3,1,68.3803963,False
56,29,2018-03-11 16:38:00,2,4,68.86982848,True
57,30,2021-12-20 12:05:00,2,3,60.54206252,True
58,30,2021-06-18 14:29:00,5,1,72.3435025,True
59,30,2018-04-08 01:53:00,5,2,86.72210823,True
60,31,2018-02-03 05:48:00,4,4,90.41042534,False
61,31,2018-05-12 07:23:00,3,3,66.18037955,False
62,32,2022-09-20 21:47:00,3,4,93.37333881,True
63,33,2023-03-17 04:46:00,5,4,58.71999388,False
64,33,2021-10-13 09:51:00,2,4,73.68328427,True
65,34,2019-07-10 06:27:00,3,5,63.98983146,False
66,34,2018-07-29 05:02:00,4,4,87.66625623,False
67,35,2020-12-23 12:14:00,1,5,72.99105097,True
68,35,2019-10-24 12:05:00,2,5,55.96502547,False
69,36,2019-06-05 16:41:00,5,1,55.73224918,False
70,36,2019-11-01 17:54:00,1,3,51.63755908,True
71,36,2023-02-28 06:14:00,1,4,81.37523285,True
72,37,2018-07-21 04:33:00,4,3,83.89497715,False
73,37,2020-08-11 17:37:00,2,3,59.97863676,False
74,38,2020-06-02 23:35:00,1,3,78.93689378,False
75,38,2018-03-19 11:51:00,3,2,81.14040046,True
76,39,2018-05-24 00:48:00,1,3,84.98533469,True
77,39,2022-05-14 11:09:00,5,1,54.71025328,True
78,39,2020-07-06 12:18:00,2,5,76.27713613,True
79,40,2020-10-12 06:57:00,5,1,68.74111232,False
80,41,2018-01-06 07:11:00,5,2,63.14905184,False
81,41,2020-07-15 23:19:00,4,2,74.68612082,True
82,42,2020-12-09 05:25:00,4,3,65.81984172,True
83,43,2023-01-05 15:24:00,5,5,70.5973055,True
84,44,2021-08-20 08:53:00,3,3,70.68956259,True
85,44,2022-10-12 22:31:00,3,2,55.89284824,True
86,45,2021-09-29 22:19:00,4,3,93.46957961,False
87,45,2018-07-08 13:29:00,3,4,95.85565866,False
88,45,2019-05-07 19:15:00,4,3,51.16334411,False
89,46,2021-05-20 15:24:00,2,5,85.80444254,False
90,46,2023-02-09 10:11:00,4,5,79.73497382,True
91,46,2022-10-13 22:41:00,1,1,67.80513914,True
92,47,2019-11-29 22:08:00,4,5,69.92963277,True
93,47,2023-04-21 02:52:00,1,4,97.17249939,True
94,47,2021-02-20 17:25:00,1,5,62.32276061,True
95,48,2019-10-19 04:22:00,1,2,69.48459915,True
96,48,2021-06-29 11:39:00,4,2,68.06707123,False
97,48,2021-01-12 15:12:00,1,3,80.12582403,False
98,49,2023-02-18 00:21:00,2,3,77.56369385,False
99,49,2023-03-25 06:46:00,2,2,65.61756802,True
100,49,2022-09-16 18:44:00,2,3,85.62387932,True
101,50,2021-10-13 21:39:00,1,5,95.72282755,True
102,50,2021-05-30 06:18:00,3,2,74.38680552,False
103,51,2021-07-03 12:00:00,3,4,94.25341606,False
104,51,2022-02-22 22:37:00,5,2,60.21311442,True
105,51,2020-05-08 07:18:00,1,4,95.41241786,False
106,52,2018-05-27 11:33:00,1,5,87.79611317,True
107,53,2020-06-21 13:05:00,4,3,98.07269914,True
108,54,2019-11-09 21:04:00,3,5,58.22106327,True
109,54,2018-02-15 06:30:00,3,2,51.88049754,False
110,54,2022-06-02 14:27:00,1,1,55.41700115,True
111,55,2021-12-28 00:58:00,4,4,84.39669601,True
112,56,2018-03-02 13:07:00,2,3,81.49390229,True
113,57,2019-12-22 00:41:00,4,5,66.92127706,False
114,58,2022-02-20 20:23:00,2,3,57.83024621,False
115,58,2022-05-23 16:58:00,3,4,72.48798754,True
116,58,2019-10-05 22:45:00,2,1,88.04369817,True
117,59,2018-06-07 01:20:00,2,4,78.04390306,False
118,59,2023-04-27 03:58:00,2,1,93.94636429,False
119,60,2021-02-05 19:06:00,5,3,88.18627214,False
120,61,2019-04-08 16:41:00,2,2,55.8136508,True
121,62,2019-08-18 14:23:00,1,2,92.04873519,True
122,62,2021-07-18 18:51:00,3,3,52.74995375,True
123,63,2021-12-02 15:03:00,2,3,57.45701433,False
